========================================
FPGA-FRIENDLY NETWORK (256-128-64)
Enhanced with lagged features & time index
========================================

Input features: 21 (lag=20 + time index)
Samples after lagging: 116381
Data split: Train=81466, Val=17457, Test=17458

Training Configuration:
  Optimizer: SGDM (momentum 0.9)
  Max epochs: 800
  L2 regularization: 0.0001

=== Starting Training ===
Training on single CPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      68 |        5340 |       00:01:28 |         0.07 |         0.07 |       0.0024 |       0.0026 |          0.0100 |
|      68 |        5370 |       00:01:29 |         0.07 |         0.07 |       0.0024 |       0.0026 |          0.0100 |
|      69 |        5400 |       00:01:29 |         0.07 |         0.07 |       0.0027 |       0.0026 |          0.0100 |
|      69 |        5430 |       00:01:30 |         0.07 |         0.07 |       0.0028 |       0.0026 |          0.0100 |
|      70 |        5460 |       00:01:30 |         0.08 |         0.07 |       0.0029 |       0.0026 |          0.0100 |
|      70 |        5490 |       00:01:31 |         0.07 |         0.07 |       0.0024 |       0.0026 |          0.0100 |
|      70 |        5520 |       00:01:31 |         0.07 |         0.07 |       0.0027 |       0.0026 |          0.0100 |
|      71 |        5550 |       00:01:32 |         0.07 |         0.07 |       0.0023 |       0.0026 |          0.0100 |
|      71 |        5580 |       00:01:32 |         0.07 |         0.07 |       0.0023 |       0.0026 |          0.0100 |
|      72 |        5610 |       00:01:33 |         0.07 |         0.07 |       0.0022 |       0.0026 |          0.0100 |
|      72 |        5640 |       00:01:34 |         0.08 |         0.07 |       0.0031 |       0.0026 |          0.0100 |
|      72 |        5670 |       00:01:34 |         0.07 |         0.07 |       0.0025 |       0.0026 |          0.0100 |
|      73 |        5700 |       00:01:35 |         0.07 |         0.07 |       0.0024 |       0.0026 |          0.0100 |
|      73 |        5730 |       00:01:35 |         0.07 |         0.07 |       0.0026 |       0.0026 |          0.0100 |
|      73 |        5760 |       00:01:36 |         0.07 |         0.07 |       0.0027 |       0.0026 |          0.0100 |
|      74 |        5790 |       00:01:36 |         0.07 |         0.07 |       0.0022 |       0.0026 |          0.0100 |
|      74 |        5820 |       00:01:37 |         0.08 |         0.07 |       0.0029 |       0.0026 |          0.0100 |
|      75 |        5850 |       00:01:37 |         0.07 |         0.07 |       0.0024 |       0.0026 |          0.0100 |
|      75 |        5880 |       00:01:38 |         0.07 |         0.07 |       0.0027 |       0.0025 |          0.0100 |
|      75 |        5910 |       00:01:39 |         0.07 |         0.07 |       0.0026 |       0.0026 |          0.0100 |
|      76 |        5940 |       00:01:39 |         0.07 |         0.07 |       0.0023 |       0.0026 |          0.0100 |
|      76 |        5970 |       00:01:39 |         0.07 |         0.07 |       0.0025 |       0.0026 |          0.0100 |
|      76 |        6000 |       00:01:40 |         0.08 |         0.07 |       0.0030 |       0.0026 |          0.0100 |
|      77 |        6030 |       00:01:41 |         0.07 |         0.07 |       0.0025 |       0.0025 |          0.0100 |
|      77 |        6060 |       00:01:41 |         0.07 |         0.07 |       0.0023 |       0.0025 |          0.0100 |
|      78 |        6090 |       00:01:41 |         0.07 |         0.07 |       0.0027 |       0.0025 |          0.0100 |
